code,instructor,year,section,group,students,L,T,P,elective,term
Graphs and Social Network,Dr. Utkarsh K,3,CSE,CSE-A;CSE-B;ECE;DSAI,18,2,1,0,1,full
Advanced Algorithm Design,Dr. Suvadip,3,CSE,CSE-A;CSE-B;ECE;DSAI,168,2,1,0,1,full
Full Stack Development,Dr. Manjunath K V,3,ECE,CSE-A;CSE-B;ECE;DSAI,127,2,0,1,2,full
Internet of Things,Dr. Prakash Pawar,3,ECE,CSE-A;CSE-B;ECE;DSAI,35,2,0,1,2,full
Semiconductor Device Modeling,Dr. Pankaj Kumar,3,ECE,CSE-A;CSE-B;ECE;DSAI,71,2,1,0,1,full
Cryptography & Information Security,Dr. Rajendra Hegadi,3,DSAI,CSE-A;CSE-B;ECE;DSAI,39,2,1,0,1,full
User Interactions and Experience Design,Dr Sandesh P,3,DSAI,CSE-A;CSE-B;ECE;DSAI,118,2,0,1,2,full
AI in Biomedical Signal Interpretation,Dr. Sibasankar Padhy,3,DSAI,CSE-A;CSE-B;ECE;DSAI,26,2,0,1,2,full
Parallel computing,Dr. Pramod,3,DSAI,CSE-A;CSE-B;ECE;DSAI,24,2,0,1,2,full
Digital Design,Dr. Dr. Jagdish R.B,1,ECE,ECE,70,2,0,1,FALSE,full
Cybersecurity Techniques,Dr. Rajendra Hegadi,4,CSE,CSE-A;CSE-B;ECE;DSAI,100,2,1,0,1,full
Reinforcement Learning,Dr. Dibyadyuti,4,CSE,CSE-A;CSE-B;ECE;DSAI,55,2,1,0,1,full
Health Care Data Analytics,Dr. Girish G N,4,CSE,CSE-A;CSE-B;ECE;DSAI,75,2,1,0,1,full
Generative AI,Dr. Chimnayananda A,4,CSE,CSE-A;CSE-B;ECE;DSAI,125,2,1,0,2,full
Hands on CMOS Analog and RF Circuit Design,Dr. Rajesh Kumar,4,ECE,CSE-A;CSE-B;ECE;DSAI,39,2,1,0,2,full
Quantum AI - Quantum Gen AI - Generative Models on Quantum Platform,Dr. Aswath Babu,4,ECE,CSE-A;CSE-B;ECE;DSAI,57,2,1,0,2,full
DevOps and its Applications,Dr. Shirishkumar Layek,4,ECE,CSE-A;CSE-B;ECE;DSAI,77,2,1,0,3,full
Agentic AI,Dr. Sunil Saumya,4,ECE,CSE-A;CSE-B;ECE;DSAI,73,2,1,0,3,full
Information Retrieval,Dr. Krishnendu,4,ECE,CSE-A;CSE-B;ECE;DSAI,48,2,1,0,3,full
Cloud SRE and AI,Dr. Malay Kumar,4,DSAI,CSE-A;CSE-B;ECE;DSAI,17,2,1,0,3,full
AI for Cybersecurity,Dr. Abdul Wahid,4,DSAI,CSE-A;CSE-B;ECE;DSAI,47,2,1,0,4,full
Finance and Accounting,Dr. Anushree,4,DSAI,CSE-A;CSE-B;ECE;DSAI,150,2,1,0,4,full
Operations Research,Dr. Vivekraj V K,4,DSAI,CSE-A;CSE-B;ECE;DSAI,0,2,1,0,4,full
Neural Networks,Dr. Jagadisha D N,4,DSAI,CSE-A;CSE-B;ECE;DSAI,9,2,1,0,4,full
Statistics,Dr. Ramesh Athe,1,CSE,ECE;DSAI,200,2,1,0,FALSE,post
Introduction to DS and AI,Dr. Abdul Wahid,1,CSE,ECE;DSAI,200,2,1,0,FALSE,post
Probability,Dr. Chinmayananda,1,ECE,CSE-A;CSE-B,150,2,1,0,FALSE,post
Differential Equations,Dr. Anand Barangi,2,CSE,ECE;DSAI,170,2,1,0,FALSE,post
Multivariate Calculus,Dr. Somen B,2,DSAI,CSE-A;CSE-B,150,2,1,0,FALSE,post
Operating System,Dr. Suvadip Hazra,2,CSE,CSE-B,80,2,1,0,FALSE,post
Digital Design,Dr. Prakash Pawar,1,CSE,CSE-A,80,2,0,1,FALSE,post
Digital Design,Dr. Jagdish R.B,1,CSE,CSE-B,80,2,0,1,FALSE,post
Digital Design,Dr. Jagdish R.B,1,ECE,ECE,80,2,0,1,FALSE,pre
